계정 ID,계정의 리뷰 수,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
오잉,1,2026-04-10,5.0,True,75,지인이 추천한 혜화 맛집 중 하나인 혜화도담에 처음 방문했습니다! 파전도 너무 맛있고 갈비찜도 너무 맛있었어요ㅠㅠ 다음에 또 올게요 !,브론즈 레벨
스톤오,2,2026-04-09,5.0,True,24,비오는 날 혜화도담 대파전과 김치찜 쵝오에요,브론즈 레벨
김태환,2,2026-04-05,5.0,True,15,너무 맛있어요 쵝노 ^^_b,브론즈 레벨
김은빈,4,2026-04-05,5.0,True,110,운좋게 자리가 하나 남아있어서 들어왔는데 너무너무 맛있어용 사장님도 친절하시구 콜키지 무료에 점심엔 막걸리도 주시는 거 같아서 담번엔 막걸리 먹으러도 올게요... 두부도 뜨끈뜨끈 너무 맛잇어요 ㅜㅜ,브론즈 레벨
Alice,2,2026-04-03,5.0,True,50,모임장소로 늘 찾는곳 !! 너무 맛있어요 ~~ 사장님도 친절하시고 막걸리도 너무 좋아요 ~,브론즈 레벨
",",2,2026-03-30,5.0,True,19,혜화에서 맛있는 갈비찜 먹었습니다!,브론즈 레벨
듀,2,2026-03-25,5.0,True,32,김치찜 순하고 너무너무 맛있어요!!! 강추강추!! 또올래용,브론즈 레벨
푸드파인더,313,2026-03-24,4.0,False,105,설명할 필요 없는 최고의 김치찜 맛집이에요 고기도 엄청 부드럽고 김치도 되게 잘 익어있었어요. 사장님도 엄청 친절하시고 깔끔한 식당 같았어요. 그리고 평일 점심에는 막걸리 한잔이 무료랍니다,골드 레벨
배교진,1,2026-03-22,5.0,True,72,아이들과 함께 저녁식사하러 나왔는데 맛도 좋고 비쥬얼도 좋아요. 김치랑 두부랑 계란말이 김가루꺼지 환상적입니다 다음에 또 올게요!,브론즈 레벨
5점만 리뷰함,9,2026-03-21,5.0,False,179,"신김치가 아주 제대로임 고기는 부드러움. 파전도 맛있음. 가격도 저렴하고 바쁜데도 친절하기까지 하심. 갖추지 아니한 것이 없는 곳임. 그렇다고 일부러 찾아와서 웨이팅해서 먹을 정도까지는 아니지만, 대학로에서 밥을 먹어야 한다면 가장 먼저 생각나는 곳임. 저녁에 친구들이랑 와서 간단히 술 마시기도 좋음. 안주도 꽤 있음.",실버 레벨
정휘영,1,2026-03-17,4.0,True,77,혜화역 점을 데이트로 방문했는데 파전 김치찜 세트를 시켰어요. 근데 명성에 맞게 조금 시고 파전은 약간 기름졌지만 맛있었어요! 2번째 방문,브론즈 레벨
지둘아빠,1,2026-03-13,5.0,True,101,혜화에서 김치찜을 먹으라면 당연 도담입니다. 와이프와 함께 오랫만에 방문한 대학로. 그곳에서의 시간괴 음식은 오랫만의 힐링이네요. 사장님이 너무 친절해서 매번 찾아오는 단골식당입니다,브론즈 레벨
짱돌,8,2026-03-11,5.0,True,119,남자친구랑 점심에 방문했는데 이 가격에 이 정도 퀄리티 말 안되지예... 밥 무한리필 막걸리 무한리필이에요!! 너무너무 마딧더요 김치찜 하나 먹으려면 4만원 내야하는 시대에 단비같은 곳 오래오래 장사해주세요 🌈🌈🌈,실버 레벨
이정인,1,2026-03-08,5.0,True,34,역시 믿고 먹는 혜화도담!! 갈비찜도 파전도 너무 맛있어요😭🥹,브론즈 레벨
Aria (아리아),1,2026-03-03,5.0,False,18,아주 맛있어요! 꼭 추천합니다 !,브론즈 레벨
제이,8,2026-03-01,5.0,False,38,맛있어요 ㅠ 파전 바삭함 돌았고 김치찜 딱 제 스타일이라 넘 좋았어요,브론즈 레벨
드락슨,9,2026-03-01,3.0,False,110,"장점 : 밥과 반찬 편히 양껏 먹을 수 있고 직원분 친절 가격도 저렴한 편, 김치 양 어마무시함 단점 : '김치'찜이어서 그런지 고기양은 적긴 함 그리고 뜨겁게 나오지 않음 여러모로 개선 필요해보임",브론즈 레벨
김복필,1,2026-03-01,5.0,True,59,고기와 김치가 부드럽고 맛있습니다. 양도 많고 밥이랑 반찬도 셀프로 먹을 수 있어요. 추천하는 가게입니다.,브론즈 레벨
유민,3,2026-03-01,5.0,True,75,너무 맛있어요!! 양도 엄청 많아서 김치찜에 대파전 시켰는데 셋이 먹어도 충분할거 같아요!! 남은 음식 포장도 해주시고 너무 좋아요!!,브론즈 레벨
김은빈,4,2026-04-05,5.0,True,63,운좋게 자리가 하나 남아있어서 들어왔는데 너무너무 맛있어용 사장님도 친절하시구 콜키지 무료에 점심엔 막걸리도...,브론즈 레벨
푸드파인더,313,2026-03-24,4.0,False,74,설명할 필요 없는 최고의 김치찜 맛집이에요 고기도 엄청 부드럽고 김치도 되게 잘 익어있었어요. 사장님도 엄청 친절하시고 깔끔한 ...,골드 레벨
5점만 리뷰함,9,2026-03-21,5.0,False,64,신김치가 아주 제대로임 고기는 부드러움. 파전도 맛있음. 가격도 저렴하고 바쁜데도 친절하기까지 하심. 갖추지 ...,실버 레벨
드락슨,9,2026-03-01,3.0,False,46,"장점 : 밥과 반찬 편히 양껏 먹을 수 있고 직원분 친절 가격도 저렴한 편, ...",브론즈 레벨
