가게 이름,계정 ID,계정의 리뷰 수,계정의 별점 평균,방문 날짜,별점,리뷰 내 사진 유무,리뷰 글자 수,리뷰 내용,카카오맵 리뷰다는 사람 레벨
호호식당 대학로점,@seatsseoul,521,3.5,2026-03-11,3.0,True,172,👍: 한옥을 개조한 건물이 예쁘고 히레카츠정식 고기가 부드럽고 잘 튀겨서 맛있어요. 사이드도 무난하고요. 가게 분위기 좋아서 데이트 때 추천. (블루리본 맛집) 👎: 웨이팅 해야하고 자리 사이 공간이 좁아서 대화가 다 들리고 불편해요. 분위기상 혼밥하기는 별로. 맛 자체로는 가격이 좀 비싼 편인 것 같아요.,골드 레벨
호호식당 대학로점,푸른하늘,93,3.7,2026-03-02,3.0,True,67,맛이 있긴 한데 20-30분 이상 기다려서 먹을 맛은 아님. 한옥집을 식당으로 개조한 색다른 분위기에서 먹어 본다는 정도,실버 레벨
호호식당 대학로점,이 망고 누가 먹다 망고야,3,4,2026-02-25,2.0,True,107,연어스테이크는 참치 통조림 맛 났어요 특색이라고 할 게 없었어요 차라리 그냥 생연어 먹는 게 나았어요 히레카츠는 그냥저냥 그랬어요 평일 오후라 십 분 정도 기다렸는데 웨이팅 할 정도는 아니에요,브론즈 레벨
호호식당 대학로점,.,54,4.3,2026-02-21,5.0,True,28,우와..! 근처 정돈 돈까스보다 더 맛있어요! ㅎㅎ,실버 레벨
호호식당 대학로점,ㅁㅁ,2,1.5,2026-02-18,1.0,True,98,제껀 오버쿡으로 퍽퍽하고 남자친구껀 너무 생으로 나왔습니다. 바쁜건 알지만 고기를 썰었을때 잘못됐음을 아셨을텐데 그냥 손님 상에 내놓으신게 아쉽습니다. 제대로 관리 하셨으면..,브론즈 레벨
호호식당 대학로점,..,119,4,2026-02-06,1.0,True,81,사케동 먹었는데 연어가 비려요.. 특별한 맛도 없고 그냥 일반 사케동인데 너무 비싼 것 같아요ㅠ 유명한거에 비해서 맛이나 음식이 많이 실망스럽네요,골드 레벨
호호식당 대학로점,김까다시안,109,3.6,2026-02-06,5.0,True,59,돈까스 사케동 모두 맛있고 엄청 친절하심 가게 인테리어도 고즈넉하고 예쁨 최근 들어 가장 만족스러웠던 식사,실버 레벨
호호식당 대학로점,올리브명란버거,19,3.5,2025-12-16,1.0,False,46,여자직원 불친절 걍 서비스직 하지마세요;;; 알바끼리 장난치고 불평불만하는거 다들림,실버 레벨
호호식당 대학로점,푸,31,4.5,2025-10-13,3.0,False,12,메뉴가 전체적으로 짜요,실버 레벨
호호식당 대학로점,ㅅㄹㅌㄹ,135,4.2,2025-09-15,2.0,False,35,너무 비쌈 그렇다고 엄청 맛있는것도 아니고 제입맛엔 약간 짰어요,실버 레벨
호호식당 대학로점,묭,15,4.7,2025-09-08,5.0,True,119,우나기동 22.0 이베리코스테이크(?) 20.0 모짜치즈볼 0.9 가격대는 있는편이지만 식사류는 다 너무 맛있었어요!! 장어덮밥은 양이 조금 적은것같긴합니다.. 🥹 일요일 점심에 방문했는데 대기없이 바로 들어갔어요,실버 레벨
호호식당 대학로점,S,20,4.1,2025-08-23,2.0,False,32,"분위기는 좋고, 맛은 보통, 여자 직원 서비스는 최악!!!",실버 레벨
호호식당 대학로점,야옹님,24,2.9,2025-07-21,3.0,False,49,굳이 방문 할 수준까진 아님 같은 재료 비슷한 맛으로 요리하고 더 저렴한 곳이 너무 많음,실버 레벨
호호식당 대학로점,chaeone,38,4.2,2025-06-20,3.0,True,11,음...... 굳이?,실버 레벨
